time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.420518061271303e-08,1.0422821695426463e-07,10.001154333219107,0.000125704069312782,7.006349989158167e-05,0.0,-5.151029082218247e-06,9.590514958856603e-06,0.03847684489248839,0.005986802539818638,0.0034066420821729938,0.0,416.76400757295613,417.0615751515416,416.67372208774975,417.1966399640288
0.12000000000000001,-2.4751584547125414e-06,4.489690432431121e-06,10.006094829946791,0.000266058368202593,6.283175644100627,0.0,-8.405673444247119e-05,0.00016285587391104924,0.12620002696560265,-0.0061925913634045815,-0.01305984271427824,0.0,433.9663520326182,432.582245470906,433.2212226331149,432.19607950484203
0.18,-4.506249250634553e-06,1.843500715102349e-05,10.014989431697764,0.0002989456227338039,6.282243802503649,0.0,9.625401478260612e-05,0.0002885426345481495,0.17028070510853785,0.011439515738077832,-0.020997125246456593,0.0,419.23649765404224,418.5464695573633,417.9522167675965,419.4858657257226
0.23999999999999996,2.8088890056526826e-05,4.59423864365134e-05,10.03029274884255,0.001383231441300481,6.280788018121818,0.0,0.0011416156261405146,0.0007306090002717461,0.339793759980953,0.02881785243563843,-0.031759269758823906,0.0,458.25973040359514,457.4035248859382,458.4248266294157,459.8033458342817
0.3,0.00015104460451194378,0.0001239047417287924,10.052989199684063,0.0032415144085877756,6.279287430228351,0.0,0.0031221904157145903,0.0020452477115814683,0.41672829054991567,0.03496299519285601,-0.014108699482715224,0.0,428.79708211687984,430.29347915032565,429.50672204341197,430.0278574625515
0.36000000000000004,0.0004177802176369999,0.00031802750653401896,10.079986272026446,0.005428445404391802,6.278716099217473,0.0,0.005836424631476068,0.004633449398143333,0.4831467883601975,0.03926561423032092,-0.0016439039693392152,0.0,425.96539894263896,427.0299432123347,425.94018818492174,426.30860096362954
0.4200000000000001,0.0008808554064069264,0.00074374743371132,10.116449989142774,0.008036589717086429,6.278451312637971,0.0,0.009620553673033081,0.009865796319222702,0.7321820549363981,0.05077072703446537,-0.010623856909003623,0.0,482.8683007851108,482.1905774124709,481.3561529758535,482.2267673163579
0.48000000000000015,0.0015568749753906738,0.0015116069757827794,10.16306775155726,0.011782700442150684,6.277694232596177,0.0,0.01298283932690248,0.016076851067813726,0.821679236973996,0.07907809921243387,-0.016938480111548367,0.0,434.7186189643291,434.18935447564337,432.61733923837386,434.99671496641525
0.5400000000000001,0.002462348743288242,0.002758065583143753,10.216966556819846,0.016581878008953943,6.276480221252765,0.0,0.017320387413274244,0.025994605454379007,0.9748213164914808,0.0817424249082207,-0.027807403393467454,0.0,454.33194117950035,453.4598033023802,454.34764535584185,454.5661624487823
0.6000000000000002,0.003670303403524058,0.004738289593532864,10.281847115274804,0.021293833206559754,6.274778077274728,0.0,0.02314342461825671,0.040581212243705096,1.1876550046571068,0.07118902077221259,-0.029516557630910028,0.0,473.07892438501153,472.94715167325023,472.10491625707914,471.2945364573234
0.6600000000000003,0.005231064197477517,0.007609939361413939,10.355226890099999,0.025306049344377968,6.273549428989988,0.0,0.0290235206012523,0.055544896007257545,1.2582511553467184,0.056419995371830824,-0.006728401227047998,0.0,427.7835180529399,429.7193200951905,429.79477526928775,428.544807654644
0.7200000000000003,0.007211125883420789,0.011579832488388085,10.43762662118189,0.02879635667294167,6.273072944588677,0.0,0.037029081409965386,0.07719466750992628,1.4881236301575396,0.0614621047283855,-0.010485089607421692,0.0,478.363281728512,478.0772799909368,477.5410450671381,477.9275470513808
